name,price,url,rating
"FIRE-BOLTT Oracle GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (50mm Display, ARM CortexTM A53 MP, Play Store Unlimited Apps, Orange Horizon Strap)",4322,https://www.croma.com/fire-boltt-oracle-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-50mm-display-arm-cortextm-a53-mp-play-store-unlimited-apps-orange-horizon-strap-/p/304957,3.7
"OnePlus Nord CE4 Lite 5G (8GB RAM, 256GB, Mega Blue)",20999,https://www.croma.com/oneplus-nord-ce4-lite-5g-8gb-ram-256gb-mega-blue-/p/307505,2.8
"Nothing Watch Pro 2 Smartwatch with Bluetooth Calling (33.52mm AMOLED Display, IP68 Water Resistant, Ash Grey Strap)",4199,https://www.croma.com/nothing-watch-pro-2-smartwatch-with-bluetooth-calling-33-52mm-amoled-display-ip68-water-resistant-ash-grey-strap-/p/308377,4.7
"Apple iPhone 16 Pro (256GB, Desert Titanium)",122900,https://www.croma.com/apple-iphone-16-pro-256gb-desert-titanium-/p/309731,4.2
"Google Pixel 9 Pro Fold 5G (16GB RAM, 256GB, Obsidian)",162999,https://www.croma.com/google-pixel-9-pro-fold-5g-16gb-ram-256gb-obsidian-/p/309152,N/A
"Google Pixel 9 Pro XL 5G (16GB RAM, 256GB, Porcelain)",114999,https://www.croma.com/google-pixel-9-pro-xl-5g-16gb-ram-256gb-porcelain-/p/309159,N/A
"Apple iPhone 16 (256GB, Teal)",81490,https://www.croma.com/apple-iphone-16-256gb-teal-/p/309701,5
"FIRE-BOLTT Dream GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (51.3mm HD Display, Cortex A7MP CPU, Google Play Store, Midnight Steel Strap)",5196,https://www.croma.com/fire-boltt-dream-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-51-3mm-hd-display-cortex-a7mp-cpu-google-play-store-midnight-steel-strap-/p/303710,4.2
"vivo V40 5G (8GB RAM, 256GB, Lotus Purple)",36999,https://www.croma.com/vivo-v40-5g-8gb-ram-256gb-lotus-purple-/p/308793,4
"OnePlus Nord CE4 5G (8GB RAM, 128GB, Chrome)",22999,https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-128gb-chrome-/p/305869,3.4
"Apple iPhone 16 (128GB, White)",71290,https://www.croma.com/apple-iphone-16-128gb-white-/p/309692,4.3
"SAMSUNG Galaxy S25 5G (12GB RAM, 256GB, Icyblue)",80999,https://www.croma.com/samsung-galaxy-s25-5g-12gb-ram-256gb-icyblue-/p/313341,N/A
"FIRE-BOLTT Dream GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (51.3mm HD Display, Cortex A7MP CPU, Google Play Store, Irish Glam Strap)",5092,https://www.croma.com/fire-boltt-dream-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-51-3mm-hd-display-cortex-a7mp-cpu-google-play-store-irish-glam-strap-/p/303703,4.5
"Apple Watch Series 10 GPS with Sport Band - S/M (42mm Retina LTPO3 OLED Display, Jet Black Aluminum Case)",45490,https://www.croma.com/apple-watch-series-10-gps-with-sport-band-s-m-42mm-retina-ltpo3-oled-display-jet-black-aluminum-case-/p/309428,N/A
"vivo V40 Pro 5G (8GB RAM, 256GB, Titanium Grey)",49999,https://www.croma.com/vivo-v40-pro-5g-8gb-ram-256gb-titanium-grey-/p/308789,5
"boAt Wave Sigma 3 Smartwatch with Bluetooth Calling (51.05mm HD Display, IP67 Water Resistant, Metal Black Strap)",1299,https://www.croma.com/boat-wave-sigma-3-smartwatch-with-bluetooth-calling-51-05mm-hd-display-ip67-water-resistant-metal-black-strap-/p/306591,3
"Google Pixel Watch 3 Wi-Fi + Bluetooth Wear OS 5.0 Smartwatch (41mm AMOLED Display, Qualcomm SW5100 Cortex M33 co-Processor, Obsidian Active Band)",39900,https://www.croma.com/google-pixel-watch-3-wi-fi-+-bluetooth-wear-os-5-0-smartwatch-41mm-amoled-display-qualcomm-sw5100-cortex-m33-co-processor-obsidian-active-band-/p/309626,N/A
"Apple iPhone 14 (128GB, Midnight)",51990,https://www.croma.com/apple-iphone-14-128gb-midnight-/p/261930,4.6
"SAMSUNG Galaxy S24 Ultra 5G (12GB RAM, 256GB, Titanium Gray)",119999,https://www.croma.com/samsung-galaxy-s24-ultra-5g-12gb-ram-256gb-titanium-gray-/p/303838,2.3
"FIRE-BOLTT Oracle GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (50mm Display, ARM CortexTM A53 MP, Play Store Unlimited Apps, Crystal Tide Strap)",4322,https://www.croma.com/fire-boltt-oracle-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-50mm-display-arm-cortextm-a53-mp-play-store-unlimited-apps-crystal-tide-strap-/p/304963,3.5
