title,product_url,image_url,current_price,original_price,discount,rating,reviews,offer,delivery
"Lenovo IdeaPad 3 14IAU7 Intel Core i3 12th Gen Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 14 inch Full HD Display, MS Office Home 2021, Arctic Grey, 1.43 KG)",/lenovo-ideapad-3-14iau7-intel-core-i3-12th-gen-thin-light-laptop-8gb-512gb-ssd-windows-11-home-14-inch-full-hd-display-ms-office-home-2021-arctic-grey-1-43-kg-/p/315010,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744096182/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315010_0_ttl3qr.png?tr=w-400,"₹36,490","₹65,290",44% Off,N/A,N/A,N/A,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (13.6 inch, M4, 24GB, 512GB, macOS, Silver)",/apple-macbook-air-13-6-inch-m4-24gb-512gb-macos-silver-/p/314138,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356584/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314138_0_mrwekh.png?tr=w-400,"₹1,34,490","₹1,39,900",4% Off,N/A,N/A,Rs.5000 Instant Discount*,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (13.6 inch, M4, 24GB, 512GB, macOS, Starlight)",/apple-macbook-air-13-6-inch-m4-24gb-512gb-macos-starlight-/p/314143,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356570/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314143_0_g49dcg.png?tr=w-400,"₹1,34,490","₹1,39,900",4% Off,N/A,N/A,Rs.5000 Instant Discount*,"Standard Delivery by Wed, 7th May"
"Lenovo IdeaPad Slim 5 14Q8X9 Qualcomm Snapdragon X Plus Thin & Light Laptop (16GB, 1TB SSD, Windows 11 Home, 14 inch WUXGA IPS Display, MS Office Home 2024, Cloud Grey, 1.48 KG)",/lenovo-ideapad-slim-5-14q8x9-qualcomm-snapdragon-x-plus-thin-light-laptop-16gb-1tb-ssd-windows-11-home-14-inch-wuxga-ips-display-ms-office-home-2024-cloud-grey-1-48-kg-/p/315217,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744629575/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315217_0_dwgzoe.png?tr=w-400,"₹71,990","₹1,25,890",43% Off,N/A,N/A,N/A,"Standard Delivery by Wed, 7th May"
"Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Luna Grey, 2.38 KG)",/lenovo-loq-15irx9-intel-core-i5-13th-gen-gaming-laptop-16gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-3050-ms-office-home-2024-luna-grey-2-38-kg-/p/314361,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1741090214/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314361_dicvgb.png?tr=w-400,"₹74,490","₹1,17,490",37% Off,N/A,N/A,Rs 2000 Instant Discount,"Standard Delivery by Wed, 7th May"
"ASUS Vivobook 15 X1504VA-NJ2217WS Intel Core i5 13th Gen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office 2024, Quiet Blue, 1.7 KG)",/asus-vivobook-15-x1504va-nj2217ws-intel-core-i5-13th-gen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-2024-quiet-blue-1-7-kg-/p/315071,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1742835664/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315071_0_otqqhk.png?tr=w-400,"₹49,990","₹70,990",30% Off,N/A,N/A,N/A,"Standard Delivery by Wed, 7th May"
"SAMSUNG Galaxy Book5 360 Intel Core Ultra 7 Touchscreen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 8GB Graphics, 15.5 inch FHD AMOLED Display, MS Office 2021, Gray, 1.46 KG)",/samsung-galaxy-book5-360-intel-core-ultra-7-touchscreen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-8gb-graphics-15-5-inch-fhd-amoled-display-ms-office-2021-gray-1-46-kg-/p/314773,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1741369005/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314773_0_dqg4qa.png?tr=w-400,"₹1,22,990","₹1,47,590",17% Off,N/A,N/A,N/A,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (15.3 inch, M4, 24GB, 512GB, macOS, Midnight)",/apple-macbook-air-15-3-inch-m4-24gb-512gb-macos-midnight-/p/314159,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356628/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314159_0_omfdyn.png?tr=w-400,"₹1,48,990","₹1,64,900",10% Off,N/A,N/A,Rs.5000 Instant Discount*,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (15.3 inch, M4, 24GB, 512GB, macOS, Starlight)",/apple-macbook-air-15-3-inch-m4-24gb-512gb-macos-starlight-/p/314156,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356632/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314156_0_ymltpo.png?tr=w-400,"₹1,48,990","₹1,64,900",10% Off,N/A,N/A,Rs.5000 Instant Discount*,"Standard Delivery by Wed, 7th May"
"Apple MacBook Air (15.3 inch, M4, 16GB, 256GB, macOS, Silver)",/apple-macbook-air-15-3-inch-m4-16gb-256gb-macos-silver-/p/314082,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744355514/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314082_0_v7vupn.png?tr=w-400,"₹1,14,990","₹1,24,900",8% Off,N/A,N/A,Rs.5000 Instant Discount*,N/A
"Apple MacBook Air (15.3 inch, M4, 16GB, 512GB, macOS, Starlight)",/apple-macbook-air-15-3-inch-m4-16gb-512gb-macos-starlight-/p/314095,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744355668/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314095_0_buv2bm.png?tr=w-400,"₹1,33,490","₹1,44,900",8% Off,N/A,N/A,Rs.5000 Instant Discount*,N/A
"HP Victus 15-fb3011AX AMD Ryzen 5 Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, Performance Blue, 2.29 KG)",/hp-victus-15-fb3011ax-amd-ryzen-5-gaming-laptop-16gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144hz-full-hd-ips-display-nvidia-geforce-rtx-3050-performance-blue-2-29-kg-/p/314534,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744627182/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314534_0_nfekyc.png?tr=w-400,"₹67,990","₹83,631",19% Off,N/A,N/A,N/A,N/A
"Lenovo Legion 5 15IRX9 Intel Core i7 13th Gen Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 8GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 4060, MS Office Home 2024, Storm Grey, 2.32 KG)",/lenovo-legion-5-15irx9-intel-core-i7-13th-gen-gaming-laptop-24gb-512gb-ssd-windows-11-home-8gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-4060-ms-office-home-2024-storm-grey-2-32-kg-/p/315212,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1743518027/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315212_0_e6pprn.png?tr=w-400,"₹1,15,490","₹1,65,090",30% Off,N/A,N/A,N/A,N/A
"Lenovo IdeaPad Slim 3 15IRU8 Intel Core i3 13th Gen Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2024, Arctic Grey, 1.62 KG)",/lenovo-ideapad-slim-3-15iru8-intel-core-i3-13th-gen-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2024-arctic-grey-1-62-kg-/p/315009,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744092597/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315009_0_cv0jds.png?tr=w-400,"₹39,490","₹62,390",37% Off,N/A,N/A,N/A,N/A
"Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2024, Arctic Grey, 1.62 KG)",/lenovo-ideapad-slim-3-15abr8-amd-ryzen-7-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2024-arctic-grey-1-62-kg-/p/315077,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744628967/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315077_0_w3uhjg.png?tr=w-400,"₹47,990","₹78,290",39% Off,N/A,N/A,N/A,N/A
"ASUS Vivobook 15 Intel Core i3 13th Gen Thin & Light Laptop (8GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2024, Quiet Blue, 1.7 KG)",/asus-vivobook-15-intel-core-i3-13th-gen-thin-light-laptop-8gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2024-quiet-blue-1-7-kg-/p/314352,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744718991/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314352_0_te1twf.png?tr=w-400,"₹39,990","₹51,990",23% Off,N/A,N/A,N/A,N/A
"Lenovo LOQ 15ARP9 AMD Ryzen 5 Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA GeForce RTX 3050, MS Office Home 2024, Luna Grey, 2.38 KG)",/lenovo-loq-15arp9-amd-ryzen-5-gaming-laptop-24gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-3050-ms-office-home-2024-luna-grey-2-38-kg-/p/315008,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1742309731/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315008_0_h24ndi.png?tr=w-400,"₹65,490","₹94,590",31% Off,N/A,N/A,N/A,N/A
"Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 15.6 inch Full HD Display, MS Office Home 2024, Arctic Grey, 1.62 KG)",/lenovo-ideapad-slim-3-15abr8-amd-ryzen-5-thin-light-laptop-16gb-512gb-ssd-windows-11-home-15-6-inch-full-hd-display-ms-office-home-2024-arctic-grey-1-62-kg-/p/315076,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744628772/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315076_0_hrfq4w.png?tr=w-400,"₹39,490","₹65,490",40% Off,N/A,N/A,N/A,N/A
"Apple MacBook Air (13.6 inch, M4, 16GB, 512GB, macOS, Sky Blue)",/apple-macbook-air-13-6-inch-m4-16gb-512gb-macos-sky-blue-/p/314068,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356023/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314068_0_ngjd6l.png?tr=w-400,"₹1,19,900",N/A,N/A,N/A,N/A,Rs 15500 Instant Discount,N/A
"Lenovo IdeaPad Slim 5 13ARP10 AMD Ryzen 7 Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 13.3 inch WUXGA IPS Display, MS Office Home 2024, Cloud Grey, 1.15 KG)",/lenovo-ideapad-slim-5-13arp10-amd-ryzen-7-thin-light-laptop-16gb-512gb-ssd-windows-11-home-13-3-inch-wuxga-ips-display-ms-office-home-2024-cloud-grey-1-15-kg-/p/315082,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744629325/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315082_0_vgmv8w.png?tr=w-400,"₹61,190","₹89,490",32% Off,N/A,N/A,N/A,N/A
"Apple MacBook Air (15.3 inch, M4, 16GB, 256GB, macOS, Midnight)",/apple-macbook-air-15-3-inch-m4-16gb-256gb-macos-midnight-/p/314065,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356012/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314065_0_yfncpt.png?tr=w-400,"₹1,14,990","₹1,24,900",8% Off,N/A,N/A,Rs.5000 Instant Discount*,N/A
"SAMSUNG Galaxy Book5 360 Intel Core Ultra 5 Touchscreen Thin & Light Laptop (16GB, 512GB SSD, Windows 11 Home, 8GB Graphics, 15.6 inch FHD AMOLED Display, MS Office 2021, Gray, 1.46 KG)",/samsung-galaxy-book5-360-intel-core-ultra-5-touchscreen-thin-light-laptop-16gb-512gb-ssd-windows-11-home-8gb-graphics-15-6-inch-fhd-amoled-display-ms-office-2021-gray-1-46-kg-/p/314769,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1741368919/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314769_0_oszokg.png?tr=w-400,"₹1,14,990","₹1,37,988",17% Off,N/A,N/A,N/A,N/A
"Apple MacBook Air (13.6 inch, M4, 16GB, 512GB, macOS, Silver)",/apple-macbook-air-13-6-inch-m4-16gb-512gb-macos-silver-/p/314072,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1744356214/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314072_0_hgsoe3.png?tr=w-400,"₹1,16,490","₹1,19,900",3% Off,N/A,N/A,Rs.5000 Instant Discount*,N/A
"SAMSUNG Galaxy Book3 360 Intel Evo Core i5 13th Gen 2-in-1 Laptop (16GB, 512GB SSD, Windows 11 Home, 13.3 inch Full HD Super AMOLED Display, MS Office 2024, Graphite Grey, 1.16 KG)",/samsung-galaxy-book3-360-intel-evo-core-i5-13th-gen-2-in-1-laptop-16gb-512gb-ssd-windows-11-home-13-3-inch-full-hd-super-amoled-display-ms-office-2024-graphite-grey-1-16-kg-/p/315471,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1745395375/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315471_0_qdmp9k.png?tr=w-400,"₹84,990","₹1,37,990",38% Off,N/A,N/A,N/A,N/A
"Lenovo LOQ 15IRX9 Intel Core i5 13th Gen Gaming Laptop (24GB, 512GB SSD, Windows 11 Home, 6GB Graphics, 15.6 inch 144 Hz Full HD IPS Display, NVIDIA Geforce RTX 4050, MS Office Home 2024, Luna Grey, 2.38 KG)",/lenovo-loq-15irx9-intel-core-i5-13th-gen-gaming-laptop-24gb-512gb-ssd-windows-11-home-6gb-graphics-15-6-inch-144-hz-full-hd-ips-display-nvidia-geforce-rtx-4050-ms-office-home-2024-luna-grey-2-38-kg-/p/314362,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1741675756/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314362_0_tv8gy3.png?tr=w-400,"₹84,490","₹1,26,590",33% Off,N/A,N/A,Rs 2000 Instant Discount,N/A
"ASUS TUF F16 Intel Core 5 210H Gaming Laptop (16GB, 512GB SSD, Windows 11 Home, 4GB Graphics, 16 inch 144 Hz Full HD Plus Display, NVIDIA GeForce RTX 3050A, Mecha Gray, 2.2 KG)",/asus-tuf-f16-intel-core-5-210h-gaming-laptop-16gb-512gb-ssd-windows-11-home-4gb-graphics-16-inch-144-hz-full-hd-plus-display-nvidia-geforce-rtx-3050a-mecha-gray-2-2-kg-/p/314536,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1741577864/Croma%20Assets/Computers%20Peripherals/Laptop/Images/314536_qptxno.png?tr=w-400,"₹71,990","₹96,990",26% Off,N/A,N/A,Rs 2500 Instant Discount,N/A
"Lenovo Yoga Slim 7 14IMH9 Intel Core Ultra 5 Laptop (16GB, 1TB SSD, Windows 11 Home, 14 inch WUXGA OLED Display, MS Office 2024, Luna Grey, 1.39 KG)",/lenovo-yoga-slim-7-14imh9-intel-core-ultra-5-laptop-16gb-1tb-ssd-windows-11-home-14-inch-wuxga-oled-display-ms-office-2024-luna-grey-1-39-kg-/p/315083,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1742973549/Croma%20Assets/Computers%20Peripherals/Laptop/Images/315083_0_o3wwrt.png?tr=w-400,"₹80,990","₹1,18,890",32% Off,N/A,N/A,N/A,N/A
