name,price,rating,reviews,url
"iQOO Z10x 5G (Titanium, 8GB RAM, 256GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Certified Durability",16499,N/A,N/A,https://www.amazon.in/iQOO-Dimensity-Processor-Military-Grade-Durability/dp/B0F2T5RBCW/ref=sr_1_11?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-11
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",8999,N/A,2600,https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=sr_1_12?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-12
"iQOO Z9 Lite 5G (Mocha Brown, 4GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",10498,N/A,4263,https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WFPLL2H/ref=sr_1_13?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-13
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",8299,N/A,2600,https://www.amazon.in/Redmi-A4-5G-Sparkle-Charging/dp/B0DLW427YG/ref=sr_1_14?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-14
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",8999,N/A,2600,https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72/ref=sr_1_15?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-15
POCO C61 Mystical Green 4GB RAM 64GB ROM,5899,N/A,309,https://www.amazon.in/POCO-C61-Mystical-Green-64GB/dp/B0CYBKWQ2V/ref=sr_1_16?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-16
"realme NARZO 80x 5G (Deep Ocean,6GB+128GB) | Dimensity 6400 5G Chipset | 6000mAh Long-Lasting Battery | 45W Fast Charge | 120Hz Eye Comfort Display | IP69 Top-Tier Waterproof",13999,N/A,39,https://www.amazon.in/realme-Dimensity-Long-Lasting-Top-Tier-Waterproof/dp/B0F18Y9YMX/ref=sr_1_17?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-17
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",8299,N/A,2600,https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_18?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-18
"realme NARZO 70 Turbo 5G (Turbo Green,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",14998,N/A,2974,https://www.amazon.in/realme-Segments-Dimensity-Motorsports-Inspired/dp/B0DDTXW9WH/ref=sr_1_19?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-19
POCO C61 Diamond Dust Black 4GB RAM 64GB ROM,5899,N/A,392,https://www.amazon.in/POCO-Diamond-Dust-Black-64GB/dp/B0CYBBB82G/ref=sr_1_20?dib=eyJ2IjoiMSJ9.YT_xiFET_3MXcplo9R3dEbkJPf9kWxlnM3F_3J3MqtYd8RopdxpkpEZkw_tsMr_6953-dPqK6J8UyWaWMm6gh6b5J4dix2cNZ4PjrzJFml91BWmCYjmGViydLHDIVEHHUs6qFVm-84YaJFD6kYp-QumXQyLHGlRfkzR3d-GEHgUliUg0lWlqEZe7kahS-rlOqIis832PYDpGSvcMSA6xQfSC03GU2xWUnOmTwzp8n5qwAzDyULxgndn213QIrnAQuecX5JvsWWf5s2yj5CeCzSkt2iLhdOfLLMcC-ZQmFIY.6Uik18caJ1ZDZmWWba06jLvNUjN64M6pS9wZDt3eFL4&dib_tag=se&qid=1745480861&s=electronics&sr=1-20
